Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10000083,0,,0,91,4,293,220,35,4,66,,5,1,4,05db9164,58e67aaf,1100da42,5024ec42,4cf72387,7e0ccccf,964d1fdd,37e4aa92,a73ee510,f007059b,59cd5ae7,a9d84aa8,8b216f7b,1adce6ef,d002b6d9,3b35c4c2,27c07bd6,c21c3e4c,21ddcdc9,a458ea53,e9ab8737,,423fab69,2c720b71,9b3e8820,47d6d9aa
10000088,0,1,23,1,14,56,15,10,35,161,1,2,,15,be589b51,38a947a1,,,25c83c98,,ba0ca6c5,0b153874,a73ee510,56ae5fb0,7ca01a9d,,97d749c9,07d13a8f,bbe9d023,,e5ba7672,f9c50fb1,,,,,32c7478e,,,
10000100,1,,-1,,,5760,42,218,0,287,,15,0,,5a9ed9b0,3f0d3f28,,,25c83c98,7e0ccccf,218a739b,0b153874,a73ee510,e157f846,b83708c2,,272d6290,1adce6ef,14108df6,,8efede7f,88416823,,,,ad3062eb,423fab69,,,
10000296,0,0,1,33,6,3706,28,2,7,28,0,1,,6,9a89b36c,1cfdf714,ef7b7b15,798823de,25c83c98,fbad5c96,eba9a360,51d76abe,a73ee510,e3629c5f,f52829dc,cf29244b,64f8e14f,d2dfe871,1e27c4c8,96c1be5d,07c540c4,6a74e011,34a10404,a458ea53,cacb3a8d,ad3062eb,3a171ecb,7939255b,cb079c2d,bc33111f
10000485,1,1,12,10,5,25,5,45,7,1553,1,17,1,5,5a9ed9b0,b0d4a6f6,73006735,97ceb02f,25c83c98,fbad5c96,407438c8,0b153874,a73ee510,b320e88d,755e4a50,c883f656,5978055e,32813e21,19f03519,636ac9fa,8efede7f,1e3d9f94,,,a5f11cda,,3a171ecb,732eaaee,,
10000494,0,,1,14,31,11761,196,75,46,273,,6,0,31,05db9164,f3f84ffb,d032c263,c18be181,cadb6f23,fbad5c96,e7351254,0b153874,a73ee510,99afd380,9a660f03,dfbb09fb,3dffcbec,07d13a8f,dddb8950,84898b2a,8efede7f,0e128609,,,0014c32a,,423fab69,3b183c5c,,
10000552,0,,2,15,11,42192,,0,15,12,,0,,12,68fd1e64,a796837e,dffca8ba,0fa0d423,25c83c98,7e0ccccf,a6a575e6,0b153874,a73ee510,25103694,4829f487,93bab460,2180053c,cfef1c29,f0bf9094,6bb29970,e5ba7672,1cdbd1c5,,,d9d9202f,ad3062eb,32c7478e,8fc66e78,,
10000619,0,0,0,10,27,12284,181,2,37,144,0,2,,27,68fd1e64,0a519c5c,77f2f2e5,d16679b9,25c83c98,fbad5c96,fe4e75fa,5b392875,a73ee510,6aea41c7,8f4f8f83,9f32b866,8828a59c,b28479f6,b760dcb7,31ca40b6,07c540c4,2efa89c6,,,dfcfc3fa,,93bad2c0,aee52b6f,,
10000747,0,1,-1,,,597,9,12,14,63,1,2,,,ae82ea21,403ea497,2cbec47f,3e2bfbda,30903e74,,394bde93,0b153874,a73ee510,07f20983,3f3009e8,21a23bfe,79f7177d,07d13a8f,e3209fc2,587267a3,e5ba7672,a78bd508,21ddcdc9,5840adea,c2a93b37,,32c7478e,1793a828,e8b83407,2fede552
10000769,0,1,1,2,1,5,1,1,1,1,1,1,,1,05db9164,ea3a5818,828ef18f,ba229df2,384874ce,7e0ccccf,969e0f2f,0b153874,a73ee510,fa7d0797,9163f8f1,eac9feed,b5b29c1f,1adce6ef,7e7dc5e4,98a54621,d4bb7bd8,a1d0cc4f,c68db44a,a458ea53,3b1ae854,,32c7478e,57e2c6c9,1575c75f,7132fed8
10000844,1,0,597,8,7,7,289,1,21,515,0,1,,0,05db9164,08d6d899,9143c832,f56b7dd5,25c83c98,7e0ccccf,c6ad90de,5b392875,a73ee510,b78f3a55,371dae82,ae1bb660,18fc2b1e,b28479f6,bfef54b3,bad5ee18,e5ba7672,87c6f83c,,,0429f84b,,dbb486d7,c0d61a5c,,
10000888,0,0,0,,1,4448,1833,5,48,148,0,1,,1,5a9ed9b0,d833535f,ad4b77ff,d16679b9,25c83c98,7e0ccccf,ca280131,0b153874,a73ee510,3b08e48b,868a9e47,a2f4e8b5,fc5dea81,1adce6ef,2ee9f086,89052618,e5ba7672,7b49e3d2,,,d4703ebd,,423fab69,aee52b6f,,
10000950,0,,0,1,1,,,0,2,30,,0,,1,05db9164,38a947a1,cebe3da8,3bee9ada,384874ce,fbad5c96,970f01b2,0b153874,7cc72ec2,3b08e48b,36bccca0,d0624fed,80467802,64c94865,2735b5ff,c8ebd6d1,2005abd1,8abf93c8,,,e52eec5c,,55dd3565,22b2abe6,,
10000956,0,,0,,0,2885,,0,49,85,,0,,24,68fd1e64,3df44d94,ab8d144a,58ed2ff8,4cf72387,7e0ccccf,7bd17596,1f89b562,a73ee510,3b08e48b,90e43499,915df586,ac6687f6,07d13a8f,4dd467c3,fa164cc9,776ce399,a0f3a3dc,,,c4ae6950,,93bad2c0,a7e54c7b,,
10001075,0,1,0,6,2,1262,18,2,10,10,0,1,,2,05db9164,e5fb1af3,5b69ee06,d6de6491,25c83c98,fe6b92e5,34ee90db,0b153874,a73ee510,d2e3dec0,d74aabe6,a0933b22,0fb78b80,1adce6ef,60403b20,3e5c1145,07c540c4,13145934,23a4bfcf,b1252a9d,4bd7cc79,,3a171ecb,74d7f2da,e8b83407,1f4b2057
10001270,0,0,0,9,5,7230,216,1,5,5,0,1,,5,05db9164,028bd518,ad4b77ff,d16679b9,25c83c98,7e0ccccf,8324f342,0b153874,a73ee510,bc5704d7,10465598,a2f4e8b5,f8362c26,b28479f6,9559bea6,89052618,d4bb7bd8,2a40f0da,,,d4703ebd,,dbb486d7,aee52b6f,,
10001561,0,4,360,35,16,326,40,7,36,114,1,3,0,31,5a9ed9b0,421b43cd,b8e6a34a,29998ed1,25c83c98,fe6b92e5,38eb9cf4,0b153874,a73ee510,441dd290,7f8ffe57,6aaba33c,46f42a63,b28479f6,2d0bb053,b041b04a,e5ba7672,2804effd,,,723b4dfd,,32c7478e,b34f3128,,
10001715,0,0,34,,2,3458,39,6,31,47,0,1,0,6,be589b51,8947f767,f706e4d3,bf4c29d3,25c83c98,7e0ccccf,6d490d7a,0b153874,a73ee510,0042ccac,77212bd7,cabeb015,7203f04e,07d13a8f,2c14c412,09ee9836,e5ba7672,bd17c3da,9437f62f,a458ea53,4719ade0,,c7dc6720,bfdeea11,f5b6afe5,510f7a1e
10002071,0,,-1,,,30316,20,0,0,8,,0,0,,05db9164,80e26c9b,47d2b0a5,f2e08e7d,25c83c98,7e0ccccf,f88a41dc,0b153874,a73ee510,8cb7066b,431f1b36,6074c21f,c5403e45,07d13a8f,f3635baf,de319688,e5ba7672,f54016b9,21ddcdc9,b1252a9d,f22a431d,,3a171ecb,1793a828,e8b83407,51751315
