Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
49800054,1,0,-1,,,1493,4,56,3,127,0,7,1,,05db9164,1cfdf714,55bb97a5,773b9816,25c83c98,7e0ccccf,2555b4d9,985e3fcb,a73ee510,f9065d00,98579192,e27f3db1,779f824b,07d13a8f,f775a6d5,9441b7ba,27c07bd6,e88ffc9d,a18beb4f,b1252a9d,01d2d239,ad3062eb,c7dc6720,da6bf0ea,cb079c2d,c8dc761f
49800088,1,1,-1,,,938,6,1,5,6,1,1,,,05db9164,33728ce9,4b0ad917,4e353d3a,25c83c98,7e0ccccf,59696d95,5b392875,a73ee510,36264492,de372071,ce2957ad,fc5c7b5d,b28479f6,468d6259,5f704016,e5ba7672,07070d63,21ddcdc9,5840adea,e5195a68,,32c7478e,9be5c7a4,2bf691b1,2fede552
49800288,0,,0,99,8,7231,,0,8,17,,0,,8,89267a00,287130e0,814a9e19,650cc93b,4cf72387,fbad5c96,e3fb0ef1,0b153874,a73ee510,3b08e48b,f272f98e,33b83378,9b9e44d2,1adce6ef,310d155b,db2d4359,776ce399,891589e7,1d04f4a4,b1252a9d,1a0fc4bc,,be7c41b4,3fdb382b,9b3e8820,49d68486
49800302,0,30,-1,,,607,39,36,40,80,1,2,,,41edac3d,7cd19acc,77f2f2e5,d16679b9,25c83c98,,bc6b8a36,0b153874,a73ee510,000e2f4b,680bf6cb,9f32b866,7db6a946,ad1cc976,4424a0a4,31ca40b6,e5ba7672,ba67aba9,,,dfcfc3fa,,c3dc6cef,aee52b6f,,
49800400,0,6,25,1,3,482,3,12,7,160,1,6,,3,05db9164,ef69887a,566f3f77,a66aedd6,25c83c98,,e7a3c783,0b153874,a73ee510,0f086324,c3516644,aedb18db,9f24464b,07d13a8f,b98be2c0,37de4483,e5ba7672,4bcc9449,712d530c,b1252a9d,49247171,,3a171ecb,e22fed0c,47907db5,bf7e4243
49800485,0,107,124,7,2,1,0,1038,5,1023,2,32,0,0,2d4ea12b,bce95927,976f883b,13508380,25c83c98,7e0ccccf,d96ae1f7,0b153874,a73ee510,305a0646,9625b211,bcd15f44,dccbd94b,07d13a8f,fec218c0,37680c79,27c07bd6,04d863d5,55dd3565,b1252a9d,e1ef11b0,,32c7478e,45ab94c8,e8b83407,c84c4aec
49800696,0,0,5,1,10,3267,91,40,20,212,0,4,2,10,05db9164,a796837e,08de7b18,97ce69e9,43b19349,fbad5c96,3b549cb8,0b153874,a73ee510,8567b763,6685ea28,c5011072,7edc047a,cfef1c29,f0bf9094,5a9431f3,27c07bd6,1cdbd1c5,,,e754c5e1,,423fab69,8fc66e78,,
49800716,1,5,0,3,4,519,10,16,26,79,2,8,0,4,05db9164,09e68b86,b24072cd,e5675bfd,25c83c98,,445033e7,0b153874,a73ee510,bf4c7de6,7f61881c,1e14c7bb,ca040b71,07d13a8f,36721ddc,c10ea98c,e5ba7672,5aed7436,555c64f6,5840adea,485475c3,,32c7478e,3fdb382b,e8b83407,11a61816
49800717,0,0,0,11,9,3470,61,16,33,94,0,2,0,9,68fd1e64,1cfdf714,06f5ad10,f5a71c36,25c83c98,,1cebe213,5b392875,a73ee510,b7d3df60,1054ae5c,7af9040d,d7ce3abd,1adce6ef,f3002fbd,7d7cbfc6,e5ba7672,e88ffc9d,d412b549,a458ea53,378ef9d5,,bcdee96c,a62d63be,cb079c2d,6c8728e9
49800826,1,0,0,156,3,1441,63,11,6,18,0,3,,3,05db9164,1cfdf714,84c64278,d772ba53,25c83c98,7e0ccccf,b5ae52c2,0b153874,a73ee510,fa7d0797,9a3e4210,e6a783a8,d2243160,07d13a8f,f775a6d5,c2f0a911,e5ba7672,e88ffc9d,21ddcdc9,a458ea53,f6f584e1,,32c7478e,67694a97,cb079c2d,436e9a3a
49800848,0,0,3,12,14,1427,17,1,18,18,0,1,0,14,68fd1e64,0468d672,,,0942e0a7,fbad5c96,0fdf56d6,5b392875,a73ee510,711ec2bc,6241e24a,,8c1a3ad8,b28479f6,234191d3,,e5ba7672,9880032b,21ddcdc9,5840adea,,ad3062eb,32c7478e,,ea9a246c,e6cf77ec
49800854,1,2,-1,,2,1,1,28,8,470,1,12,,1,05db9164,85af3139,d032c263,c18be181,4cf72387,,7195046d,0b153874,a73ee510,acccca1c,4d8549da,dfbb09fb,51b97b8f,1adce6ef,ecd9dd20,84898b2a,e5ba7672,d4328054,,,0014c32a,ad3062eb,bcdee96c,3b183c5c,,
49800858,1,7,67,,0,565,3,29,30,75,2,13,,2,05db9164,e6203a55,c99cf416,4a7c5a9c,25c83c98,fbad5c96,fd5c0ed6,37e4aa92,a73ee510,e53bceb4,95eaf7a0,fde735a2,ccfd4002,07d13a8f,d1ea3c15,e90814ee,e5ba7672,da738eed,,,65297117,,423fab69,40a0947a,,
49800972,0,,50,2,,40514,,0,13,31,,0,,,05db9164,38a947a1,173284a4,91455f13,25c83c98,fe6b92e5,68ee71d9,062b5529,a73ee510,3b08e48b,d700703a,d7028959,bccbbffe,b28479f6,764e251f,2bbe2611,776ce399,79c48790,,,634571e9,,bcdee96c,748fa578,,
49801127,0,,51,21,3,149977,,0,10,4,,0,,3,68fd1e64,38d50e09,e7290a18,10ee14f5,30903e74,7e0ccccf,10bc08c3,0b153874,7cc72ec2,3b08e48b,4ca0f167,394b6320,eb4b1bfd,1adce6ef,e2c18d5a,c336971a,776ce399,582152eb,21ddcdc9,5840adea,f226d6a0,c9d4222a,3a171ecb,e4f45003,e8b83407,632dae8a
49801279,0,1,66,14,10,10,7,33,12,617,1,6,,7,68fd1e64,512fdf0c,b00d1501,d16679b9,25c83c98,7e0ccccf,86b374da,0b153874,a73ee510,3b08e48b,39dd23e7,e0d76380,0159bf9f,b28479f6,fc29c5a9,1203a270,e5ba7672,fd3919f9,21ddcdc9,5840adea,73d06dde,,3a171ecb,aee52b6f,724b04da,aa5f0a15
49801285,0,0,78,133,4,11668,,0,13,3,0,0,,4,68fd1e64,78ccd99e,f50111c7,a6055a57,25c83c98,7e0ccccf,a1eeac3d,0b153874,a73ee510,854d88cd,2e9d5aa6,77400ace,0a9ac04c,1adce6ef,b00d57a8,e0d5d698,e5ba7672,e7e991cb,c02291d7,b1252a9d,0c6e3cbe,,423fab69,2abc9b8d,2bf691b1,814bf5e1
49801317,1,0,0,,,7719,25,4,0,0,0,1,,,05db9164,e112a9de,6b80d7c0,81e71114,4cf72387,6f6d9be8,2e67d537,062b5529,a73ee510,0f0274a4,afdd3fca,21161865,d77a196a,07d13a8f,d9429614,ba0eeab9,e5ba7672,d4aabcd5,,,8dbce355,,32c7478e,8f079aa5,,
49801525,0,5,89,4,24,4,8,5,25,24,1,1,,8,05db9164,08d6d899,b00d1501,d16679b9,25c83c98,fbad5c96,ac8dee1b,5b392875,a73ee510,3b08e48b,611103d4,e0d76380,97894d02,b28479f6,bffbd637,1203a270,e5ba7672,bbf70d82,,,73d06dde,,32c7478e,aee52b6f,,
49801676,1,1,741,13,16,28,14,193,21,212,1,10,7,14,09ca0b81,942f9a8d,82acea52,39b40dcd,25c83c98,,d3f2ae29,6c41e35e,a73ee510,e113fc4b,c4adf918,66ee5bf3,85dbe138,b28479f6,ac182643,84477d9a,8efede7f,1f868fdd,c4209246,b1252a9d,4377ea3b,,32c7478e,87f4a634,001f3601,f7a5e858
49801833,0,9,-1,32,13,7,0,9,21,95,3,3,0,0,05db9164,1cfdf714,ec13b576,c24f736f,25c83c98,fbad5c96,bde86fea,0b153874,a73ee510,81dd15c2,dd542e6d,2211576e,779f824b,687dfaf4,a54fca2b,c85dc1d7,8efede7f,e88ffc9d,410499c1,b1252a9d,f49e3fc7,,423fab69,29ce79bf,e8b83407,0610d914
